Departamento,Categoria,Subcategoria,Característica
casa e decor,utensílios para cozinha,bandejas,
casa e decor,utensílios para cozinha,batedeiras e fouets,
casa e decor,utensílios para cozinha,bombonieres,
casa e decor,utensílios para cozinha,bules e leiteiras,
casa e decor,utensílios para cozinha,chaleiras e bules,
casa e decor,utensílios para cozinha,chapas e bifeterias,
casa e decor,utensílios para cozinha,coadores,
casa e decor,utensílios para cozinha,copos e taças,
casa e decor,utensílios para cozinha,defumadores,
casa e decor,utensílios para cozinha,descascadores,
casa e decor,utensílios para cozinha,escorredores,
casa e decor,utensílios para cozinha,espremedores,
casa e decor,utensílios para cozinha,térmicas e coolers,
casa e decor,utensílios para cozinha,jarras e suqueiras,
casa e decor,utensílios para cozinha,mantegueiras e queijeiras,
casa e decor,utensílios para cozinha,panelas e frigideiras,
casa e decor,utensílios para cozinha,peneiras,
casa e decor,utensílios para cozinha,porta-objetos e suportes,
casa e decor,utensílios para cozinha,pratos,
casa e decor,utensílios para cozinha,raladores,
casa e decor,utensílios para cozinha,saladeiras,
casa e decor,utensílios para cozinha,saleiros e pimenteiros,
